tweet_id,username,text,created_at,location,source,url
1554483922171564034,Ti_Fushiguro,"Ahh we got a interesting development about the War Devil or should i say Yoru.
It'll be interesting how Asa grows from this point forward because she will now realize she needs Yoru's power.
The fear she has is a crutch right now that she will have to overcome.",2022-08-02 15:07:02+00:00,stuck on what to watch/read,Twitter Web App,https://twitter.com/Ti_Fushiguro/status/1554483922171564034
1554483856320958466,viviberrii,"chainsaw man spoilers // 

war devil/yoru is slowly becoming my favorite devil https://t.co/TcZspc9HUM",2022-08-02 15:06:46+00:00,18 | she/her,Twitter for iPhone,https://twitter.com/viviberrii/status/1554483856320958466
1554483757813489665,gojaursatoru,asa and the war devil https://t.co/ImJhX65saV,2022-08-02 15:06:23+00:00,ITS AROOJTWT😭😭 any prns desi,Twitter for iPhone,https://twitter.com/gojaursatoru/status/1554483757813489665
1554483651760771074,itgirlreze,fujimoto sensei big brain “war devil” “mankind is at war with the devils” https://t.co/o0vS2WkofJ,2022-08-02 15:05:58+00:00,20 ♡ ic nachanman76,Twitter for iPhone,https://twitter.com/itgirlreze/status/1554483651760771074
1554483399070474240,88aether,war devil new name is yoru https://t.co/DYHMjPuN8m,2022-08-02 15:04:57+00:00,she/her asian minor ,Twitter for iPhone,https://twitter.com/88aether/status/1554483399070474240
1554483304765743105,RhyxOW,lets gooo we finally got the name for the war devil,2022-08-02 15:04:35+00:00,,Twitter Web App,https://twitter.com/RhyxOW/status/1554483304765743105
1554483298516119553,mouyuuta,oh no the war devil has a name now how will i recover FUCK,2022-08-02 15:04:33+00:00,she/her,Twitter Web App,https://twitter.com/mouyuuta/status/1554483298516119553
1554483179960025095,EisakuOtomo,Asa arguing with the War Devil in public https://t.co/SgWSIK6tYM,2022-08-02 15:04:05+00:00,,Twitter for iPhone,https://twitter.com/EisakuOtomo/status/1554483179960025095
1554483144082227201,fyodorkiIIs,war devil always so unserious 😭 https://t.co/Vlu6VaszpF,2022-08-02 15:03:57+00:00,,Twitter for Android,https://twitter.com/fyodorkiIIs/status/1554483144082227201
1554482762266157058,CSPerfectShot,War Devil nickname is Yoru https://t.co/b9tFpOoeLR,2022-08-02 15:02:26+00:00,,Twitter for iPhone,https://twitter.com/CSPerfectShot/status/1554482762266157058
